"Año";"Periodo";"Número de fallecidos por fecha de defunción"
"2020";"Día 21 de junio";"6"
"2020";"Día 22 de junio";"0"
"2020";"Día 23 de junio";"1"
"2020";"Día 24 de junio";"1"
"2020";"Día 25 de junio";"1"
"2020";"Día 26 de junio";"2"
"2020";"Día 27 de junio";"2"
"2020";"Día 28 de junio";"2"
"2020";"Día 29 de junio";"3"
"2020";"Día 30 de junio";"2"
"2020";"Día 1 de julio";"2"
"2020";"Día 2 de julio";"0"
"2020";"Día 3 de julio";"1"
"2020";"Día 4 de julio";"1"
"2020";"Día 5 de julio";"0"
"2020";"Día 6 de julio";"1"
"2020";"Día 7 de julio";"1"
"2020";"Día 8 de julio";"1"
"2020";"Día 9 de julio";"0"
"2020";"Día 10 de julio";"1"
"2020";"Día 11 de julio";"1"
"2020";"Día 12 de julio";"0"
"2020";"Día 13 de julio";"0"
"2020";"Día 14 de julio";"0"
"2020";"Día 15 de julio";"1"
"2020";"Día 16 de julio";"0"
"2020";"Día 17 de julio";"0"
"2020";"Día 18 de julio";"0"
"2020";"Día 19 de julio";"1"
"2020";"Día 20 de julio";"0"
"2020";"Día 21 de julio";"0"
"2020";"Día 22 de julio";"0"
"2020";"Día 23 de julio";"0"
"2020";"Día 24 de julio";"1"
"2020";"Día 25 de julio";"0"
"2020";"Día 26 de julio";"0"
"2020";"Día 27 de julio";"0"
"2020";"Día 28 de julio";"0"
"2020";"Día 29 de julio";"0"
"2020";"Día 30 de julio";"0"
"2020";"Día 31 de julio";"0"
"2020";"Día 1 de agosto";"1"
"2020";"Día 2 de agosto";"0"
"2020";"Día 3 de agosto";"1"
"2020";"Día 4 de agosto";"0"
"2020";"Día 5 de agosto";"0"
"2020";"Día 6 de agosto";"1"
"2020";"Día 7 de agosto";"0"
"2020";"Día 8 de agosto";"1"
"2020";"Día 9 de agosto";"1"
"2020";"Día 10 de agosto";"0"
"2020";"Día 11 de agosto";"1"
"2020";"Día 12 de agosto";"1"
"2020";"Día 13 de agosto";"0"
"2020";"Día 14 de agosto";"3"
"2020";"Día 15 de agosto";"0"
"2020";"Día 16 de agosto";"0"
"2020";"Día 17 de agosto";"1"
"2020";"Día 18 de agosto";"0"
"2020";"Día 19 de agosto";"2"
"2020";"Día 20 de agosto";"1"
"2020";"Día 21 de agosto";"0"
"2020";"Día 22 de agosto";"4"
"2020";"Día 23 de agosto";"1"
"2020";"Día 24 de agosto";"3"
"2020";"Día 25 de agosto";"4"
"2020";"Día 26 de agosto";"4"
"2020";"Día 27 de agosto";"4"
"2020";"Día 28 de agosto";"8"
"2020";"Día 29 de agosto";"5"
"2020";"Día 30 de agosto";"4"
"2020";"Día 31 de agosto";"8"
"2020";"Día 1 de septiembre";"1"
"2020";"Día 2 de septiembre";"3"
"2020";"Día 3 de septiembre";"3"
"2020";"Día 4 de septiembre";"5"
"2020";"Día 5 de septiembre";"5"
"2020";"Día 6 de septiembre";"5"
"2020";"Día 7 de septiembre";"5"
"2020";"Día 8 de septiembre";"3"
"2020";"Día 9 de septiembre";"6"
"2020";"Día 10 de septiembre";"3"
"2020";"Día 11 de septiembre";"5"
"2020";"Día 12 de septiembre";"9"
"2020";"Día 13 de septiembre";"7"
"2020";"Día 14 de septiembre";"6"
"2020";"Día 15 de septiembre";"8"
"2020";"Día 16 de septiembre";"4"
"2020";"Día 17 de septiembre";"10"
"2020";"Día 18 de septiembre";"9"
"2020";"Día 19 de septiembre";"7"
"2020";"Día 20 de septiembre";"10"
"2020";"Día 21 de septiembre";"12"
"2020";"Día 22 de septiembre";"7"
"2020";"Día 23 de septiembre";"12"
"2020";"Día 24 de septiembre";"9"
"2020";"Día 25 de septiembre";"14"
"2020";"Día 26 de septiembre";"6"
"2020";"Día 27 de septiembre";"13"
"2020";"Día 28 de septiembre";"13"
"2020";"Día 29 de septiembre";"10"
"2020";"Día 30 de septiembre";"15"
"2020";"Día 1 de octubre";"18"
"2020";"Día 2 de octubre";"15"
"2020";"Día 3 de octubre";"19"
"2020";"Día 4 de octubre";"8"
"2020";"Día 5 de octubre";"14"
"2020";"Día 6 de octubre";"18"
"2020";"Día 7 de octubre";"23"
"2020";"Día 8 de octubre";"15"
"2020";"Día 9 de octubre";"19"
"2020";"Día 10 de octubre";"17"
"2020";"Día 11 de octubre";"10"
"2020";"Día 12 de octubre";"16"
"2020";"Día 13 de octubre";"18"
"2020";"Día 14 de octubre";"15"
"2020";"Día 15 de octubre";"20"
"2020";"Día 16 de octubre";"6"
"2020";"Día 17 de octubre";"23"
"2020";"Día 18 de octubre";"22"
"2020";"Día 19 de octubre";"21"
"2020";"Día 20 de octubre";"24"
"2020";"Día 21 de octubre";"14"
"2020";"Día 22 de octubre";"23"
"2020";"Día 23 de octubre";"27"
"2020";"Día 24 de octubre";"28"
"2020";"Día 25 de octubre";"18"
"2020";"Día 26 de octubre";"19"
"2020";"Día 27 de octubre";"21"
"2020";"Día 28 de octubre";"28"
"2020";"Día 29 de octubre";"32"
"2020";"Día 30 de octubre";"21"
"2020";"Día 31 de octubre";"22"
"2020";"Día 1 de noviembre";"24"
"2020";"Día 2 de noviembre";"34"
"2020";"Día 3 de noviembre";"21"
"2020";"Día 4 de noviembre";"41"
"2020";"Día 5 de noviembre";"31"
"2020";"Día 6 de noviembre";"38"
"2020";"Día 7 de noviembre";"33"
