Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
04 Balears, Illes;De 2.001 a 5.000 ;2014;45.606
04 Balears, Illes;De 2.001 a 5.000 ;2013;43.916
04 Balears, Illes;De 2.001 a 5.000 ;2012;44.038
04 Balears, Illes;De 2.001 a 5.000 ;2011;41.845
04 Balears, Illes;De 2.001 a 5.000 ;2010;41.470
04 Balears, Illes;De 2.001 a 5.000 ;2009;38.770
04 Balears, Illes;De 2.001 a 5.000 ;2008;42.678
04 Balears, Illes;De 2.001 a 5.000 ;2007;50.855
04 Balears, Illes;De 2.001 a 5.000 ;2006;63.766
04 Balears, Illes;De 2.001 a 5.000 ;2005;62.094
04 Balears, Illes;De 2.001 a 5.000 ;2004;58.086
04 Balears, Illes;De 2.001 a 5.000 ;2003;55.379
04 Balears, Illes;De 2.001 a 5.000 ;2002;68.873
04 Balears, Illes;De 2.001 a 5.000 ;2001;71.142
04 Balears, Illes;De 2.001 a 5.000 ;2000;69.246
04 Balears, Illes;De 2.001 a 5.000 ;1999;67.293
04 Balears, Illes;De 2.001 a 5.000 ;1998;63.847
04 Balears, Illes;De 2.001 a 5.000 ;1997;""
04 Balears, Illes;De 2.001 a 5.000 ;1996;67.220
04 Balears, Illes;De 5.001 a 10.000 ;2021;117.543
04 Balears, Illes;De 5.001 a 10.000 ;2020;116.240
04 Balears, Illes;De 5.001 a 10.000 ;2019;108.610
04 Balears, Illes;De 5.001 a 10.000 ;2018;101.896
04 Balears, Illes;De 5.001 a 10.000 ;2017;95.946
04 Balears, Illes;De 5.001 a 10.000 ;2016;100.260
04 Balears, Illes;De 5.001 a 10.000 ;2015;115.108
04 Balears, Illes;De 5.001 a 10.000 ;2014;115.289
04 Balears, Illes;De 5.001 a 10.000 ;2013;106.544
04 Balears, Illes;De 5.001 a 10.000 ;2012;117.278
04 Balears, Illes;De 5.001 a 10.000 ;2011;116.407
04 Balears, Illes;De 5.001 a 10.000 ;2010;125.300
04 Balears, Illes;De 5.001 a 10.000 ;2009;123.422
04 Balears, Illes;De 5.001 a 10.000 ;2008;115.008
04 Balears, Illes;De 5.001 a 10.000 ;2007;100.677
04 Balears, Illes;De 5.001 a 10.000 ;2006;82.775
04 Balears, Illes;De 5.001 a 10.000 ;2005;100.257
04 Balears, Illes;De 5.001 a 10.000 ;2004;105.693
04 Balears, Illes;De 5.001 a 10.000 ;2003;105.843
04 Balears, Illes;De 5.001 a 10.000 ;2002;87.583
04 Balears, Illes;De 5.001 a 10.000 ;2001;88.492
04 Balears, Illes;De 5.001 a 10.000 ;2000;94.266
04 Balears, Illes;De 5.001 a 10.000 ;1999;90.544
04 Balears, Illes;De 5.001 a 10.000 ;1998;86.662
04 Balears, Illes;De 5.001 a 10.000 ;1997;""
04 Balears, Illes;De 5.001 a 10.000 ;1996;77.608
04 Balears, Illes;De 10.001 a 20.000 ;2021;146.148
04 Balears, Illes;De 10.001 a 20.000 ;2020;146.023
04 Balears, Illes;De 10.001 a 20.000 ;2019;143.645
04 Balears, Illes;De 10.001 a 20.000 ;2018;161.424
04 Balears, Illes;De 10.001 a 20.000 ;2017;158.923
04 Balears, Illes;De 10.001 a 20.000 ;2016;157.830
04 Balears, Illes;De 10.001 a 20.000 ;2015;148.460
04 Balears, Illes;De 10.001 a 20.000 ;2014;148.326
04 Balears, Illes;De 10.001 a 20.000 ;2013;139.375
04 Balears, Illes;De 10.001 a 20.000 ;2012;152.984
04 Balears, Illes;De 10.001 a 20.000 ;2011;152.018
04 Balears, Illes;De 10.001 a 20.000 ;2010;141.570
04 Balears, Illes;De 10.001 a 20.000 ;2009;141.321
04 Balears, Illes;De 10.001 a 20.000 ;2008;137.390
04 Balears, Illes;De 10.001 a 20.000 ;2007;152.216
04 Balears, Illes;De 10.001 a 20.000 ;2006;167.199
04 Balears, Illes;De 10.001 a 20.000 ;2005;141.170
04 Balears, Illes;De 10.001 a 20.000 ;2004;125.953
04 Balears, Illes;De 10.001 a 20.000 ;2003;125.973
04 Balears, Illes;De 10.001 a 20.000 ;2002;121.656
04 Balears, Illes;De 10.001 a 20.000 ;2001;107.141
04 Balears, Illes;De 10.001 a 20.000 ;2000;93.819
04 Balears, Illes;De 10.001 a 20.000 ;1999;110.482
04 Balears, Illes;De 10.001 a 20.000 ;1998;106.199
04 Balears, Illes;De 10.001 a 20.000 ;1997;""
04 Balears, Illes;De 10.001 a 20.000 ;1996;119.845
04 Balears, Illes;De 20.001 a 50.000 ;2021;331.525
04 Balears, Illes;De 20.001 a 50.000 ;2020;328.804
04 Balears, Illes;De 20.001 a 50.000 ;2019;371.872
04 Balears, Illes;De 20.001 a 50.000 ;2018;393.458
04 Balears, Illes;De 20.001 a 50.000 ;2017;388.025
04 Balears, Illes;De 20.001 a 50.000 ;2016;384.596
04 Balears, Illes;De 20.001 a 50.000 ;2015;333.361
04 Balears, Illes;De 20.001 a 50.000 ;2014;333.357
04 Balears, Illes;De 20.001 a 50.000 ;2013;307.429
04 Balears, Illes;De 20.001 a 50.000 ;2012;332.877
04 Balears, Illes;De 20.001 a 50.000 ;2011;329.549
04 Balears, Illes;De 20.001 a 50.000 ;2010;326.201
04 Balears, Illes;De 20.001 a 50.000 ;2009;321.588
04 Balears, Illes;De 20.001 a 50.000 ;2008;313.541
04 Balears, Illes;De 20.001 a 50.000 ;2007;327.457
04 Balears, Illes;De 20.001 a 50.000 ;2006;296.270
04 Balears, Illes;De 20.001 a 50.000 ;2005;288.201
04 Balears, Illes;De 20.001 a 50.000 ;2004;279.188
04 Balears, Illes;De 20.001 a 50.000 ;2003;273.803
04 Balears, Illes;De 20.001 a 50.000 ;2002;261.607
04 Balears, Illes;De 20.001 a 50.000 ;2001;247.035
04 Balears, Illes;De 20.001 a 50.000 ;2000;236.719
04 Balears, Illes;De 20.001 a 50.000 ;1999;209.203
04 Balears, Illes;De 20.001 a 50.000 ;1998;201.669
04 Balears, Illes;De 20.001 a 50.000 ;1997;""
04 Balears, Illes;De 20.001 a 50.000 ;1996;172.996
04 Balears, Illes;De 50.001 a 100.000 ;2021;102.210
04 Balears, Illes;De 50.001 a 100.000 ;2020;102.838
04 Balears, Illes;De 50.001 a 100.000 ;2019;50.559
04 Balears, Illes;De 50.001 a 100.000 ;2018;0
04 Balears, Illes;De 50.001 a 100.000 ;2017;0
04 Balears, Illes;De 50.001 a 100.000 ;2016;0
04 Balears, Illes;De 50.001 a 100.000 ;2015;50.328
04 Balears, Illes;De 50.001 a 100.000 ;2014;50.363
04 Balears, Illes;De 50.001 a 100.000 ;2013;102.673
04 Balears, Illes;De 50.001 a 100.000 ;2012;51.114
04 Balears, Illes;De 50.001 a 100.000 ;2011;52.451
04 Balears, Illes;De 50.001 a 100.000 ;2010;51.462
04 Balears, Illes;De 50.001 a 100.000 ;2009;51.774
04 Balears, Illes;De 50.001 a 100.000 ;2008;50.777
04 Balears, Illes;De 50.001 a 100.000 ;2007;0
04 Balears, Illes;De 50.001 a 100.000 ;2006;0
04 Balears, Illes;De 50.001 a 100.000 ;2005;0
04 Balears, Illes;De 50.001 a 100.000 ;2004;0
04 Balears, Illes;De 50.001 a 100.000 ;2003;0
04 Balears, Illes;De 50.001 a 100.000 ;2002;0
04 Balears, Illes;De 50.001 a 100.000 ;2001;0
04 Balears, Illes;De 50.001 a 100.000 ;2000;0
04 Balears, Illes;De 50.001 a 100.000 ;1999;0
04 Balears, Illes;De 50.001 a 100.000 ;1998;0
04 Balears, Illes;De 50.001 a 100.000 ;1997;""
04 Balears, Illes;De 50.001 a 100.000 ;1996;0
04 Balears, Illes;De 100.001 a 500.000 ;2021;419.366
04 Balears, Illes;De 100.001 a 500.000 ;2020;422.587
04 Balears, Illes;De 100.001 a 500.000 ;2019;416.065
04 Balears, Illes;De 100.001 a 500.000 ;2018;409.661
04 Balears, Illes;De 100.001 a 500.000 ;2017;406.492
04 Balears, Illes;De 100.001 a 500.000 ;2016;402.949
04 Balears, Illes;De 100.001 a 500.000 ;2015;400.578
04 Balears, Illes;De 100.001 a 500.000 ;2014;399.093
04 Balears, Illes;De 100.001 a 500.000 ;2013;398.162
04 Balears, Illes;De 100.001 a 500.000 ;2012;407.648
04 Balears, Illes;De 100.001 a 500.000 ;2011;405.318
04 Balears, Illes;De 100.001 a 500.000 ;2010;404.681
04 Balears, Illes;De 100.001 a 500.000 ;2009;401.270
04 Balears, Illes;De 100.001 a 500.000 ;2008;396.570
04 Balears, Illes;De 100.001 a 500.000 ;2007;383.107
04 Balears, Illes;De 100.001 a 500.000 ;2006;375.048
04 Balears, Illes;De 100.001 a 500.000 ;2005;375.773
04 Balears, Illes;De 100.001 a 500.000 ;2004;368.974
04 Balears, Illes;De 100.001 a 500.000 ;2003;367.277
04 Balears, Illes;De 100.001 a 500.000 ;2002;358.462
04 Balears, Illes;De 100.001 a 500.000 ;2001;346.720
04 Balears, Illes;De 100.001 a 500.000 ;2000;333.925
04 Balears, Illes;De 100.001 a 500.000 ;1999;326.993
04 Balears, Illes;De 100.001 a 500.000 ;1998;319.181
04 Balears, Illes;De 100.001 a 500.000 ;1997;""
04 Balears, Illes;De 100.001 a 500.000 ;1996;304.250
04 Balears, Illes;Más de 500.000 ;2021;0
04 Balears, Illes;Más de 500.000 ;2020;0
04 Balears, Illes;Más de 500.000 ;2019;0
04 Balears, Illes;Más de 500.000 ;2018;0
04 Balears, Illes;Más de 500.000 ;2017;0
04 Balears, Illes;Más de 500.000 ;2016;0
04 Balears, Illes;Más de 500.000 ;2015;0
04 Balears, Illes;Más de 500.000 ;2014;0
04 Balears, Illes;Más de 500.000 ;2013;0
04 Balears, Illes;Más de 500.000 ;2012;0
04 Balears, Illes;Más de 500.000 ;2011;0
04 Balears, Illes;Más de 500.000 ;2010;0
04 Balears, Illes;Más de 500.000 ;2009;0
04 Balears, Illes;Más de 500.000 ;2008;0
04 Balears, Illes;Más de 500.000 ;2007;0
04 Balears, Illes;Más de 500.000 ;2006;0
04 Balears, Illes;Más de 500.000 ;2005;0
04 Balears, Illes;Más de 500.000 ;2004;0
04 Balears, Illes;Más de 500.000 ;2003;0
04 Balears, Illes;Más de 500.000 ;2002;0
04 Balears, Illes;Más de 500.000 ;2001;0
04 Balears, Illes;Más de 500.000 ;2000;0
04 Balears, Illes;Más de 500.000 ;1999;0
04 Balears, Illes;Más de 500.000 ;1998;0
04 Balears, Illes;Más de 500.000 ;1997;""
04 Balears, Illes;Más de 500.000 ;1996;0
05 Canarias;Total;2021;2.172.944
05 Canarias;Total;2020;2.175.952
05 Canarias;Total;2019;2.153.389
05 Canarias;Total;2018;2.127.685
05 Canarias;Total;2017;2.108.121
05 Canarias;Total;2016;2.101.924
05 Canarias;Total;2015;2.100.306
05 Canarias;Total;2014;2.104.815
05 Canarias;Total;2013;2.118.679
05 Canarias;Total;2012;2.118.344
05 Canarias;Total;2011;2.126.769
05 Canarias;Total;2010;2.118.519
05 Canarias;Total;2009;2.103.992
05 Canarias;Total;2008;2.075.968
05 Canarias;Total;2007;2.025.951
05 Canarias;Total;2006;1.995.833
05 Canarias;Total;2005;1.968.280
05 Canarias;Total;2004;1.915.540
05 Canarias;Total;2003;1.894.868
05 Canarias;Total;2002;1.843.755
05 Canarias;Total;2001;1.781.366
05 Canarias;Total;2000;1.716.276
05 Canarias;Total;1999;1.672.689
05 Canarias;Total;1998;1.630.015
05 Canarias;Total;1997;""
05 Canarias;Total;1996;1.606.534
05 Canarias;Menos de 101 ;2021;0
05 Canarias;Menos de 101 ;2020;0
05 Canarias;Menos de 101 ;2019;0
05 Canarias;Menos de 101 ;2018;0
05 Canarias;Menos de 101 ;2017;0
05 Canarias;Menos de 101 ;2016;0
05 Canarias;Menos de 101 ;2015;0
05 Canarias;Menos de 101 ;2014;0
05 Canarias;Menos de 101 ;2013;0
05 Canarias;Menos de 101 ;2012;0
05 Canarias;Menos de 101 ;2011;0
05 Canarias;Menos de 101 ;2010;0
05 Canarias;Menos de 101 ;2009;0
05 Canarias;Menos de 101 ;2008;0
05 Canarias;Menos de 101 ;2007;0
05 Canarias;Menos de 101 ;2006;0
05 Canarias;Menos de 101 ;2005;0
05 Canarias;Menos de 101 ;2004;0
05 Canarias;Menos de 101 ;2003;0
05 Canarias;Menos de 101 ;2002;0
05 Canarias;Menos de 101 ;2001;0
05 Canarias;Menos de 101 ;2000;0
05 Canarias;Menos de 101 ;1999;0
05 Canarias;Menos de 101 ;1998;0
05 Canarias;Menos de 101 ;1997;""
05 Canarias;Menos de 101 ;1996;0
05 Canarias;De 101 a 500 ;2021;0
05 Canarias;De 101 a 500 ;2020;0
05 Canarias;De 101 a 500 ;2019;0
05 Canarias;De 101 a 500 ;2018;0
05 Canarias;De 101 a 500 ;2017;0
05 Canarias;De 101 a 500 ;2016;0
05 Canarias;De 101 a 500 ;2015;0
05 Canarias;De 101 a 500 ;2014;0
05 Canarias;De 101 a 500 ;2013;0
05 Canarias;De 101 a 500 ;2012;0
05 Canarias;De 101 a 500 ;2011;0
05 Canarias;De 101 a 500 ;2010;0
05 Canarias;De 101 a 500 ;2009;0
05 Canarias;De 101 a 500 ;2008;0
05 Canarias;De 101 a 500 ;2007;0
05 Canarias;De 101 a 500 ;2006;0
05 Canarias;De 101 a 500 ;2005;0
05 Canarias;De 101 a 500 ;2004;0
05 Canarias;De 101 a 500 ;2003;0
05 Canarias;De 101 a 500 ;2002;0
05 Canarias;De 101 a 500 ;2001;0
05 Canarias;De 101 a 500 ;2000;0
05 Canarias;De 101 a 500 ;1999;0
05 Canarias;De 101 a 500 ;1998;0
05 Canarias;De 101 a 500 ;1997;""
05 Canarias;De 101 a 500 ;1996;0
05 Canarias;De 501 a 1.000;2021;762
05 Canarias;De 501 a 1.000;2020;773
05 Canarias;De 501 a 1.000;2019;758
05 Canarias;De 501 a 1.000;2018;731
05 Canarias;De 501 a 1.000;2017;710
05 Canarias;De 501 a 1.000;2016;714
05 Canarias;De 501 a 1.000;2015;713
05 Canarias;De 501 a 1.000;2014;733
05 Canarias;De 501 a 1.000;2013;811
05 Canarias;De 501 a 1.000;2012;805
05 Canarias;De 501 a 1.000;2011;839
05 Canarias;De 501 a 1.000;2010;823
05 Canarias;De 501 a 1.000;2009;680
05 Canarias;De 501 a 1.000;2008;715
05 Canarias;De 501 a 1.000;2007;742
05 Canarias;De 501 a 1.000;2006;705
05 Canarias;De 501 a 1.000;2005;738
05 Canarias;De 501 a 1.000;2004;749
05 Canarias;De 501 a 1.000;2003;721
05 Canarias;De 501 a 1.000;2002;665
05 Canarias;De 501 a 1.000;2001;670
05 Canarias;De 501 a 1.000;2000;677
05 Canarias;De 501 a 1.000;1999;636
05 Canarias;De 501 a 1.000;1998;619
05 Canarias;De 501 a 1.000;1997;""
05 Canarias;De 501 a 1.000;1996;592
05 Canarias;De 1.001 a 2.000 ;2021;14.992
05 Canarias;De 1.001 a 2.000 ;2020;14.833
05 Canarias;De 1.001 a 2.000 ;2019;14.708
05 Canarias;De 1.001 a 2.000 ;2018;14.543
05 Canarias;De 1.001 a 2.000 ;2017;16.432
05 Canarias;De 1.001 a 2.000 ;2016;16.643
05 Canarias;De 1.001 a 2.000 ;2015;12.900
05 Canarias;De 1.001 a 2.000 ;2014;15.008
05 Canarias;De 1.001 a 2.000 ;2013;9.418
05 Canarias;De 1.001 a 2.000 ;2012;11.519
05 Canarias;De 1.001 a 2.000 ;2011;9.710
05 Canarias;De 1.001 a 2.000 ;2010;9.666
05 Canarias;De 1.001 a 2.000 ;2009;9.938
05 Canarias;De 1.001 a 2.000 ;2008;11.922
05 Canarias;De 1.001 a 2.000 ;2007;10.161
05 Canarias;De 1.001 a 2.000 ;2006;10.160
05 Canarias;De 1.001 a 2.000 ;2005;12.109
05 Canarias;De 1.001 a 2.000 ;2004;12.012
05 Canarias;De 1.001 a 2.000 ;2003;11.714
05 Canarias;De 1.001 a 2.000 ;2002;9.463
05 Canarias;De 1.001 a 2.000 ;2001;9.358
05 Canarias;De 1.001 a 2.000 ;2000;9.277
05 Canarias;De 1.001 a 2.000 ;1999;8.930
05 Canarias;De 1.001 a 2.000 ;1998;10.316
05 Canarias;De 1.001 a 2.000 ;1997;""
05 Canarias;De 1.001 a 2.000 ;1996;8.711
05 Canarias;De 2.001 a 5.000 ;2021;63.471
05 Canarias;De 2.001 a 5.000 ;2020;63.292
05 Canarias;De 2.001 a 5.000 ;2019;62.750
05 Canarias;De 2.001 a 5.000 ;2018;72.246
05 Canarias;De 2.001 a 5.000 ;2017;70.188
05 Canarias;De 2.001 a 5.000 ;2016;70.235
05 Canarias;De 2.001 a 5.000 ;2015;74.569
05 Canarias;De 2.001 a 5.000 ;2014;63.039
05 Canarias;De 2.001 a 5.000 ;2013;60.281
05 Canarias;De 2.001 a 5.000 ;2012;54.754
05 Canarias;De 2.001 a 5.000 ;2011;42.899
05 Canarias;De 2.001 a 5.000 ;2010;42.784
05 Canarias;De 2.001 a 5.000 ;2009;47.785
05 Canarias;De 2.001 a 5.000 ;2008;50.813
05 Canarias;De 2.001 a 5.000 ;2007;46.476
05 Canarias;De 2.001 a 5.000 ;2006;41.278
05 Canarias;De 2.001 a 5.000 ;2005;48.694
05 Canarias;De 2.001 a 5.000 ;2004;48.311
05 Canarias;De 2.001 a 5.000 ;2003;47.833
05 Canarias;De 2.001 a 5.000 ;2002;58.952
05 Canarias;De 2.001 a 5.000 ;2001;57.252
05 Canarias;De 2.001 a 5.000 ;2000;69.954
05 Canarias;De 2.001 a 5.000 ;1999;72.499
05 Canarias;De 2.001 a 5.000 ;1998;67.725
05 Canarias;De 2.001 a 5.000 ;1997;""
05 Canarias;De 2.001 a 5.000 ;1996;70.110
05 Canarias;De 5.001 a 10.000 ;2021;139.132
05 Canarias;De 5.001 a 10.000 ;2020;138.353
05 Canarias;De 5.001 a 10.000 ;2019;137.392
05 Canarias;De 5.001 a 10.000 ;2018;126.326
05 Canarias;De 5.001 a 10.000 ;2017;125.248
05 Canarias;De 5.001 a 10.000 ;2016;124.909
05 Canarias;De 5.001 a 10.000 ;2015;125.339
05 Canarias;De 5.001 a 10.000 ;2014;136.658
05 Canarias;De 5.001 a 10.000 ;2013;147.713
05 Canarias;De 5.001 a 10.000 ;2012;153.954
05 Canarias;De 5.001 a 10.000 ;2011;170.066
05 Canarias;De 5.001 a 10.000 ;2010;169.390
05 Canarias;De 5.001 a 10.000 ;2009;163.963
05 Canarias;De 5.001 a 10.000 ;2008;167.241
05 Canarias;De 5.001 a 10.000 ;2007;170.471
05 Canarias;De 5.001 a 10.000 ;2006;182.393
05 Canarias;De 5.001 a 10.000 ;2005;170.220
05 Canarias;De 5.001 a 10.000 ;2004;165.963
05 Canarias;De 5.001 a 10.000 ;2003;185.322
05 Canarias;De 5.001 a 10.000 ;2002;172.698
05 Canarias;De 5.001 a 10.000 ;2001;177.460
05 Canarias;De 5.001 a 10.000 ;2000;165.786
05 Canarias;De 5.001 a 10.000 ;1999;167.465
05 Canarias;De 5.001 a 10.000 ;1998;179.772
05 Canarias;De 5.001 a 10.000 ;1997;""
05 Canarias;De 5.001 a 10.000 ;1996;194.173
05 Canarias;De 10.001 a 20.000 ;2021;179.633
05 Canarias;De 10.001 a 20.000 ;2020;180.232
05 Canarias;De 10.001 a 20.000 ;2019;177.891
05 Canarias;De 10.001 a 20.000 ;2018;234.539
05 Canarias;De 10.001 a 20.000 ;2017;271.351
05 Canarias;De 10.001 a 20.000 ;2016;229.513
05 Canarias;De 10.001 a 20.000 ;2015;228.367
05 Canarias;De 10.001 a 20.000 ;2014;248.210
05 Canarias;De 10.001 a 20.000 ;2013;211.970
05 Canarias;De 10.001 a 20.000 ;2012;211.917
05 Canarias;De 10.001 a 20.000 ;2011;210.650
05 Canarias;De 10.001 a 20.000 ;2010;228.622
05 Canarias;De 10.001 a 20.000 ;2009;246.713
05 Canarias;De 10.001 a 20.000 ;2008;231.866
05 Canarias;De 10.001 a 20.000 ;2007;280.613
05 Canarias;De 10.001 a 20.000 ;2006;280.766
05 Canarias;De 10.001 a 20.000 ;2005;293.884
05 Canarias;De 10.001 a 20.000 ;2004;301.725
05 Canarias;De 10.001 a 20.000 ;2003;255.378
05 Canarias;De 10.001 a 20.000 ;2002;247.197
05 Canarias;De 10.001 a 20.000 ;2001;243.727
05 Canarias;De 10.001 a 20.000 ;2000;255.787
05 Canarias;De 10.001 a 20.000 ;1999;253.630
05 Canarias;De 10.001 a 20.000 ;1998;239.049
05 Canarias;De 10.001 a 20.000 ;1997;""
05 Canarias;De 10.001 a 20.000 ;1996;235.607
05 Canarias;De 20.001 a 50.000 ;2021;601.388
05 Canarias;De 20.001 a 50.000 ;2020;599.696
05 Canarias;De 20.001 a 50.000 ;2019;591.382
05 Canarias;De 20.001 a 50.000 ;2018;571.704
05 Canarias;De 20.001 a 50.000 ;2017;524.551
05 Canarias;De 20.001 a 50.000 ;2016;561.336
05 Canarias;De 20.001 a 50.000 ;2015;559.051
05 Canarias;De 20.001 a 50.000 ;2014;538.829
05 Canarias;De 20.001 a 50.000 ;2013;583.091
05 Canarias;De 20.001 a 50.000 ;2012;584.363
05 Canarias;De 20.001 a 50.000 ;2011;578.990
05 Canarias;De 20.001 a 50.000 ;2010;552.495
05 Canarias;De 20.001 a 50.000 ;2009;526.434
05 Canarias;De 20.001 a 50.000 ;2008;515.228
05 Canarias;De 20.001 a 50.000 ;2007;489.140
05 Canarias;De 20.001 a 50.000 ;2006;459.127
05 Canarias;De 20.001 a 50.000 ;2005;428.528
05 Canarias;De 20.001 a 50.000 ;2004;393.357
05 Canarias;De 20.001 a 50.000 ;2003;406.678
05 Canarias;De 20.001 a 50.000 ;2002;487.980
05 Canarias;De 20.001 a 50.000 ;2001;491.136
05 Canarias;De 20.001 a 50.000 ;2000;426.492
05 Canarias;De 20.001 a 50.000 ;1999;387.740
05 Canarias;De 20.001 a 50.000 ;1998;356.285
05 Canarias;De 20.001 a 50.000 ;1997;""
05 Canarias;De 20.001 a 50.000 ;1996;331.833
05 Canarias;De 50.001 a 100.000 ;2021;325.549
05 Canarias;De 50.001 a 100.000 ;2020;326.654
05 Canarias;De 50.001 a 100.000 ;2019;321.121
05 Canarias;De 50.001 a 100.000 ;2018;266.250
05 Canarias;De 50.001 a 100.000 ;2017;262.639
05 Canarias;De 50.001 a 100.000 ;2016;260.716
05 Canarias;De 50.001 a 100.000 ;2015;260.869
05 Canarias;De 50.001 a 100.000 ;2014;259.691
05 Canarias;De 50.001 a 100.000 ;2013;261.864
05 Canarias;De 50.001 a 100.000 ;2012;257.247
05 Canarias;De 50.001 a 100.000 ;2011;253.439
05 Canarias;De 50.001 a 100.000 ;2010;255.666
05 Canarias;De 50.001 a 100.000 ;2009;253.539
05 Canarias;De 50.001 a 100.000 ;2008;346.729
05 Canarias;De 50.001 a 100.000 ;2007;285.896
05 Canarias;De 50.001 a 100.000 ;2006;279.039
05 Canarias;De 50.001 a 100.000 ;2005;272.285
05 Canarias;De 50.001 a 100.000 ;2004;259.710
05 Canarias;De 50.001 a 100.000 ;2003;254.856
05 Canarias;De 50.001 a 100.000 ;2002;143.732
05 Canarias;De 50.001 a 100.000 ;2001;89.493
05 Canarias;De 50.001 a 100.000 ;2000;88.110
05 Canarias;De 50.001 a 100.000 ;1999;86.037
05 Canarias;De 50.001 a 100.000 ;1998;83.733
05 Canarias;De 50.001 a 100.000 ;1997;""
05 Canarias;De 50.001 a 100.000 ;1996;84.389
05 Canarias;De 100.001 a 500.000 ;2021;848.017
05 Canarias;De 100.001 a 500.000 ;2020;852.119
05 Canarias;De 100.001 a 500.000 ;2019;847.387
05 Canarias;De 100.001 a 500.000 ;2018;841.346
05 Canarias;De 100.001 a 500.000 ;2017;837.002
05 Canarias;De 100.001 a 500.000 ;2016;837.858
05 Canarias;De 100.001 a 500.000 ;2015;838.498
05 Canarias;De 100.001 a 500.000 ;2014;842.647
05 Canarias;De 100.001 a 500.000 ;2013;843.531
05 Canarias;De 100.001 a 500.000 ;2012;843.785
05 Canarias;De 100.001 a 500.000 ;2011;860.176
05 Canarias;De 100.001 a 500.000 ;2010;859.073
05 Canarias;De 100.001 a 500.000 ;2009;854.940
05 Canarias;De 100.001 a 500.000 ;2008;751.454
05 Canarias;De 100.001 a 500.000 ;2007;742.452
05 Canarias;De 100.001 a 500.000 ;2006;742.365
05 Canarias;De 100.001 a 500.000 ;2005;741.822
05 Canarias;De 100.001 a 500.000 ;2004;733.713
05 Canarias;De 100.001 a 500.000 ;2003;732.366
05 Canarias;De 100.001 a 500.000 ;2002;723.068
05 Canarias;De 100.001 a 500.000 ;2001;712.270
05 Canarias;De 100.001 a 500.000 ;2000;700.193
05 Canarias;De 100.001 a 500.000 ;1999;695.752
05 Canarias;De 100.001 a 500.000 ;1998;692.516
05 Canarias;De 100.001 a 500.000 ;1997;""
05 Canarias;De 100.001 a 500.000 ;1996;681.119
05 Canarias;Más de 500.000 ;2021;0
05 Canarias;Más de 500.000 ;2020;0
05 Canarias;Más de 500.000 ;2019;0
05 Canarias;Más de 500.000 ;2018;0
05 Canarias;Más de 500.000 ;2017;0
05 Canarias;Más de 500.000 ;2016;0
05 Canarias;Más de 500.000 ;2015;0
05 Canarias;Más de 500.000 ;2014;0
05 Canarias;Más de 500.000 ;2013;0
05 Canarias;Más de 500.000 ;2012;0
05 Canarias;Más de 500.000 ;2011;0
05 Canarias;Más de 500.000 ;2010;0
05 Canarias;Más de 500.000 ;2009;0
05 Canarias;Más de 500.000 ;2008;0
05 Canarias;Más de 500.000 ;2007;0
05 Canarias;Más de 500.000 ;2006;0
05 Canarias;Más de 500.000 ;2005;0
05 Canarias;Más de 500.000 ;2004;0
05 Canarias;Más de 500.000 ;2003;0
05 Canarias;Más de 500.000 ;2002;0
05 Canarias;Más de 500.000 ;2001;0
05 Canarias;Más de 500.000 ;2000;0
05 Canarias;Más de 500.000 ;1999;0
05 Canarias;Más de 500.000 ;1998;0
05 Canarias;Más de 500.000 ;1997;""
05 Canarias;Más de 500.000 ;1996;0
06 Cantabria;Total;2021;584.507
06 Cantabria;Total;2020;582.905
06 Cantabria;Total;2019;581.078
06 Cantabria;Total;2018;580.229
06 Cantabria;Total;2017;580.295
06 Cantabria;Total;2016;582.206
06 Cantabria;Total;2015;585.179
06 Cantabria;Total;2014;588.656
06 Cantabria;Total;2013;591.888
06 Cantabria;Total;2012;593.861
06 Cantabria;Total;2011;593.121
06 Cantabria;Total;2010;592.250
06 Cantabria;Total;2009;589.235
06 Cantabria;Total;2008;582.138
06 Cantabria;Total;2007;572.824
06 Cantabria;Total;2006;568.091
06 Cantabria;Total;2005;562.309
06 Cantabria;Total;2004;554.784
06 Cantabria;Total;2003;549.690
06 Cantabria;Total;2002;542.275
06 Cantabria;Total;2001;537.606
06 Cantabria;Total;2000;531.159
06 Cantabria;Total;1999;528.478
06 Cantabria;Total;1998;527.137
06 Cantabria;Total;1997;""
06 Cantabria;Total;1996;527.437
06 Cantabria;Menos de 101 ;2021;141
06 Cantabria;Menos de 101 ;2020;138
06 Cantabria;Menos de 101 ;2019;140
06 Cantabria;Menos de 101 ;2018;132
06 Cantabria;Menos de 101 ;2017;138
06 Cantabria;Menos de 101 ;2016;142
06 Cantabria;Menos de 101 ;2015;144
06 Cantabria;Menos de 101 ;2014;143
06 Cantabria;Menos de 101 ;2013;141
06 Cantabria;Menos de 101 ;2012;145
06 Cantabria;Menos de 101 ;2011;163
06 Cantabria;Menos de 101 ;2010;150
06 Cantabria;Menos de 101 ;2009;144
06 Cantabria;Menos de 101 ;2008;151
06 Cantabria;Menos de 101 ;2007;160
06 Cantabria;Menos de 101 ;2006;155
06 Cantabria;Menos de 101 ;2005;148
06 Cantabria;Menos de 101 ;2004;145
06 Cantabria;Menos de 101 ;2003;140
