Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
Total;De 2.001 a 5.000 ;2015;3.105.502
Total;De 2.001 a 5.000 ;2014;3.109.507
Total;De 2.001 a 5.000 ;2013;3.118.035
Total;De 2.001 a 5.000 ;2012;3.177.319
Total;De 2.001 a 5.000 ;2011;3.166.344
Total;De 2.001 a 5.000 ;2010;3.178.057
Total;De 2.001 a 5.000 ;2009;3.204.638
Total;De 2.001 a 5.000 ;2008;3.217.354
Total;De 2.001 a 5.000 ;2007;3.207.931
Total;De 2.001 a 5.000 ;2006;3.147.445
Total;De 2.001 a 5.000 ;2005;3.163.341
Total;De 2.001 a 5.000 ;2004;3.123.610
Total;De 2.001 a 5.000 ;2003;3.090.817
Total;De 2.001 a 5.000 ;2002;3.138.752
Total;De 2.001 a 5.000 ;2001;3.145.777
Total;De 2.001 a 5.000 ;2000;3.134.288
Total;De 2.001 a 5.000 ;1999;3.137.326
Total;De 2.001 a 5.000 ;1998;3.126.876
Total;De 2.001 a 5.000 ;1997;""
Total;De 2.001 a 5.000 ;1996;3.129.220
Total;De 5.001 a 10.000 ;2021;3.902.355
Total;De 5.001 a 10.000 ;2020;3.844.677
Total;De 5.001 a 10.000 ;2019;3.865.826
Total;De 5.001 a 10.000 ;2018;3.804.913
Total;De 5.001 a 10.000 ;2017;3.855.902
Total;De 5.001 a 10.000 ;2016;3.869.029
Total;De 5.001 a 10.000 ;2015;3.861.973
Total;De 5.001 a 10.000 ;2014;3.885.669
Total;De 5.001 a 10.000 ;2013;3.921.464
Total;De 5.001 a 10.000 ;2012;3.889.239
Total;De 5.001 a 10.000 ;2011;3.914.878
Total;De 5.001 a 10.000 ;2010;3.933.865
Total;De 5.001 a 10.000 ;2009;3.858.996
Total;De 5.001 a 10.000 ;2008;3.815.486
Total;De 5.001 a 10.000 ;2007;3.792.020
Total;De 5.001 a 10.000 ;2006;3.772.119
Total;De 5.001 a 10.000 ;2005;3.716.869
Total;De 5.001 a 10.000 ;2004;3.682.499
Total;De 5.001 a 10.000 ;2003;3.639.128
Total;De 5.001 a 10.000 ;2002;3.532.517
Total;De 5.001 a 10.000 ;2001;3.494.124
Total;De 5.001 a 10.000 ;2000;3.515.907
Total;De 5.001 a 10.000 ;1999;3.517.474
Total;De 5.001 a 10.000 ;1998;3.543.795
Total;De 5.001 a 10.000 ;1997;""
Total;De 5.001 a 10.000 ;1996;3.599.227
Total;De 10.001 a 20.000 ;2021;4.894.070
Total;De 10.001 a 20.000 ;2020;4.827.217
Total;De 10.001 a 20.000 ;2019;4.787.781
Total;De 10.001 a 20.000 ;2018;4.946.227
Total;De 10.001 a 20.000 ;2017;4.926.456
Total;De 10.001 a 20.000 ;2016;4.914.991
Total;De 10.001 a 20.000 ;2015;4.983.746
Total;De 10.001 a 20.000 ;2014;5.025.279
Total;De 10.001 a 20.000 ;2013;5.034.822
Total;De 10.001 a 20.000 ;2012;5.137.125
Total;De 10.001 a 20.000 ;2011;5.119.308
Total;De 10.001 a 20.000 ;2010;5.020.865
Total;De 10.001 a 20.000 ;2009;5.021.665
Total;De 10.001 a 20.000 ;2008;5.040.092
Total;De 10.001 a 20.000 ;2007;4.963.221
Total;De 10.001 a 20.000 ;2006;4.920.545
Total;De 10.001 a 20.000 ;2005;4.867.406
Total;De 10.001 a 20.000 ;2004;4.843.203
Total;De 10.001 a 20.000 ;2003;4.781.079
Total;De 10.001 a 20.000 ;2002;4.704.465
Total;De 10.001 a 20.000 ;2001;4.638.790
Total;De 10.001 a 20.000 ;2000;4.622.754
Total;De 10.001 a 20.000 ;1999;4.611.424
Total;De 10.001 a 20.000 ;1998;4.542.603
Total;De 10.001 a 20.000 ;1997;""
Total;De 10.001 a 20.000 ;1996;4.525.296
Total;De 20.001 a 50.000 ;2021;7.837.738
Total;De 20.001 a 50.000 ;2020;7.858.627
Total;De 20.001 a 50.000 ;2019;7.765.329
Total;De 20.001 a 50.000 ;2018;7.688.220
Total;De 20.001 a 50.000 ;2017;7.584.424
Total;De 20.001 a 50.000 ;2016;7.668.118
Total;De 20.001 a 50.000 ;2015;7.522.782
Total;De 20.001 a 50.000 ;2014;7.509.883
Total;De 20.001 a 50.000 ;2013;7.593.871
Total;De 20.001 a 50.000 ;2012;7.561.192
Total;De 20.001 a 50.000 ;2011;7.499.173
Total;De 20.001 a 50.000 ;2010;7.435.693
Total;De 20.001 a 50.000 ;2009;7.312.406
Total;De 20.001 a 50.000 ;2008;6.997.338
Total;De 20.001 a 50.000 ;2007;7.005.876
Total;De 20.001 a 50.000 ;2006;6.786.025
Total;De 20.001 a 50.000 ;2005;6.583.993
Total;De 20.001 a 50.000 ;2004;6.131.649
Total;De 20.001 a 50.000 ;2003;6.021.723
Total;De 20.001 a 50.000 ;2002;6.070.295
Total;De 20.001 a 50.000 ;2001;5.972.571
Total;De 20.001 a 50.000 ;2000;5.609.225
Total;De 20.001 a 50.000 ;1999;5.414.573
Total;De 20.001 a 50.000 ;1998;5.243.892
Total;De 20.001 a 50.000 ;1997;""
Total;De 20.001 a 50.000 ;1996;5.195.495
Total;De 50.001 a 100.000 ;2021;6.178.689
Total;De 50.001 a 100.000 ;2020;6.189.980
Total;De 50.001 a 100.000 ;2019;6.075.765
Total;De 50.001 a 100.000 ;2018;5.884.410
Total;De 50.001 a 100.000 ;2017;5.960.153
Total;De 50.001 a 100.000 ;2016;5.854.053
Total;De 50.001 a 100.000 ;2015;5.961.547
Total;De 50.001 a 100.000 ;2014;5.968.029
Total;De 50.001 a 100.000 ;2013;5.965.524
Total;De 50.001 a 100.000 ;2012;5.896.687
Total;De 50.001 a 100.000 ;2011;5.857.700
Total;De 50.001 a 100.000 ;2010;5.915.160
Total;De 50.001 a 100.000 ;2009;5.854.113
Total;De 50.001 a 100.000 ;2008;5.848.264
Total;De 50.001 a 100.000 ;2007;5.444.955
Total;De 50.001 a 100.000 ;2006;5.312.064
Total;De 50.001 a 100.000 ;2005;5.147.839
Total;De 50.001 a 100.000 ;2004;4.996.187
Total;De 50.001 a 100.000 ;2003;4.927.484
Total;De 50.001 a 100.000 ;2002;4.458.891
Total;De 50.001 a 100.000 ;2001;4.213.756
Total;De 50.001 a 100.000 ;2000;4.241.165
Total;De 50.001 a 100.000 ;1999;4.193.401
Total;De 50.001 a 100.000 ;1998;4.252.399
Total;De 50.001 a 100.000 ;1997;""
Total;De 50.001 a 100.000 ;1996;3.982.633
Total;De 100.001 a 500.000 ;2021;11.216.339
Total;De 100.001 a 500.000 ;2020;11.288.818
Total;De 100.001 a 500.000 ;2019;11.196.460
Total;De 100.001 a 500.000 ;2018;11.126.817
Total;De 100.001 a 500.000 ;2017;10.984.725
Total;De 100.001 a 500.000 ;2016;10.971.589
Total;De 100.001 a 500.000 ;2015;10.979.122
Total;De 100.001 a 500.000 ;2014;11.015.433
Total;De 100.001 a 500.000 ;2013;11.160.284
Total;De 100.001 a 500.000 ;2012;11.193.750
