"Año";"Periodo";"Tasa de gripe por 100.000 habitantes"
"2017";"Semana 41";"4,13"
"2017";"Semana 42";"6,58"
"2017";"Semana 43";"8,26"
"2017";"Semana 44";"8,46"
"2017";"Semana 45";"17,03"
"2017";"Semana 46";"18,47"
"2017";"Semana 47";"25,03"
"2017";"Semana 48";"32,87"
"2017";"Semana 49";"31,11"
"2017";"Semana 50";"70,74"
"2017";"Semana 51";"120,98"
"2017";"Semana 52";"208,25"
"2018";"Semana 1";"212,84"
"2018";"Semana 2";"248,4"
"2018";"Semana 3";"290,4"
"2018";"Semana 4";"244,26"
"2018";"Semana 5";"190,12"
"2018";"Semana 6";"150,74"
"2018";"Semana 7";"128,05"
"2018";"Semana 8";"109,08"
"2018";"Semana 9";"81,55"
"2018";"Semana 10";"57,48"
"2018";"Semana 11";"41,34"
"2018";"Semana 12";"29,57"
"2018";"Semana 14";"13,6"
"2018";"Semana 15";"8,4"
"2018";"Semana 16";"3,93"
"2018";"Semana 17";"2,78"
"2018";"Semana 18";"3,04"
"2018";"Semana 19";"2,93"
"2018";"Semana 20";"2,12"
"2018";"Semana 40";"6,5"
"2018";"Semana 41";"5,29"
"2018";"Semana 42";"7,86"
"2018";"Semana 43";"10,53"
"2018";"Semana 44";"9,75"
"2018";"Semana 45";"15,95"
"2018";"Semana 46";"16,43"
"2018";"Semana 47";"16,12"
"2018";"Semana 48";"15,49"
"2018";"Semana 49";"20,43"
"2018";"Semana 50";"29,78"
"2018";"Semana 51";"43,56"
"2018";"Semana 52";"35,82"
"2019";"Semana 1";"47,58"
"2019";"Semana 2";"109,35"
"2019";"Semana 3";"205,3"
"2019";"Semana 4";"241,3"
"2019";"Semana 5";"246,9"
"2019";"Semana 6";"206,2"
"2019";"Semana 7";"158,1"
"2019";"Semana 8";"110,5"
"2019";"Semana 9";"74,5"
"2019";"Semana 10";"41,7"
"2019";"Semana 11";"27,7"
"2019";"Semana 12";"21"
"2019";"Semana 13";"8,4"
"2019";"Semana 14";"9,6"
"2019";"Semana 15";"6,9"
"2019";"Semana 16";"1,5"
"2019";"Semana 17";"2,5"
"2019";"Semana 18";"2,6"
"2019";"Semana 19";"2,2"
"2019";"Semana 20";"1,4"
"2019";"Semana 40";"5,1"
"2019";"Semana 41";"6,8"
"2019";"Semana 42";"7,2"
"2019";"Semana 43";"8,3"
"2019";"Semana 44";"10,6"
"2019";"Semana 45";"12,2"
"2019";"Semana 46";"14,96"
"2019";"Semana 47";"21,8"
"2019";"Semana 48";"18,5"
"2019";"Semana 49";"20,7"
"2019";"Semana 50";"29,7"
"2019";"Semana 51";"37"
"2019";"Semana 52";"37"
"2020";"Semana 1";"54,6"
"2020";"Semana 2";"105,9"
"2020";"Semana 3";"203,1"
"2020";"Semana 4";"255,6"
"2020";"Semana 5";"271,4"
"2020";"Semana 6";"223,3"
"2020";"Semana 7";"163,1"
"2020";"Semana 8";"97,8"
"2020";"Semana 9";"78,9"
"2020";"Semana 10";"68,6"
"2020";"Semana 11";"45,5"
"2020";"Semana 12";"6,7"
"2020";"Semana 13";"1,5"
"2020";"Semana 14";"0,7"
"2020";"Semana 15";"1,1"
"2020";"Semana 16";"1,3"
"2020";"Semana 17";"0,35"
"2020";"Semana 18";"0,45"
"2020";"Semana 19";"0"
"2020";"Semana 20";"0"
"2020";"Semana 45";"0"
"2020";"Semana 46";"0"
"2020";"Semana 47";"0"
"2020";"Semana 48";"0"
"2020";"Semana 49";"0"
"2020";"Semana 50";"0"
"2020";"Semana 51";"0"
"2020";"Semana 52";"0"
"2020";"Semana 53";"0"
"2021";"Semana 1";"0"
"2021";"Semana 2";"0"
"2021";"Semana 3";"0"
"2021";"Semana 4";"0"
;;
;;
"Métrica":"Tasa de gripe por 100.000 habitantes"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-casos-gripe-semanas/a88f57a1-85ec-447d-9ae5-8a3be3fbd43e/espana/106"
"Titulo":"Evolución de los casos de gripe en España, por semanas"
"Subtitulo":""
