Serie mensual;001-102  I-XXII.Todas las causas;00A COVID-19. Virus identificado;00B COVID-19. Virus no identificado (sospechoso);062-067  X.Enfermedades del sistema respiratorio;062  Influenza (gripe) (incluye gripe aviar y gripe A);063  Neumonía;064  Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);065  Asma;066  Insuficiencia respiratoria;067  Otras enfermedades del sistema respiratorio
1984M03;29363.0;0.0;0.0;3198.0;143.0;915.0;1023.0;154.0;147.0;816.0
1984M04;25212.0;0.0;0.0;2612.0;134.0;687.0;873.0;127.0;133.0;658.0
1984M05;24006.0;0.0;0.0;2109.0;48.0;536.0;760.0;103.0;126.0;536.0
1984M06;23575.0;0.0;0.0;2024.0;20.0;488.0;697.0;110.0;116.0;593.0
1984M07;24268.0;0.0;0.0;1941.0;9.0;508.0;635.0;90.0;111.0;588.0
1984M08;22384.0;0.0;0.0;1777.0;14.0;449.0;570.0;124.0;123.0;497.0
1984M09;21416.0;0.0;0.0;1620.0;9.0;423.0;540.0;90.0;119.0;439.0
1984M10;24023.0;0.0;0.0;2032.0;33.0;542.0;647.0;88.0;106.0;616.0
1984M11;24294.0;0.0;0.0;2126.0;56.0;609.0;714.0;115.0;108.0;524.0
1984M12;26901.0;0.0;0.0;2439.0;53.0;656.0;810.0;130.0;112.0;678.0
1985M01;33332.0;0.0;0.0;3660.0;118.0;1018.0;1265.0;158.0;146.0;955.0
1985M02;25537.0;0.0;0.0;2567.0;61.0;661.0;963.0;115.0;118.0;649.0
1985M03;28391.0;0.0;0.0;3135.0;112.0;810.0;1104.0;126.0;132.0;851.0
1985M04;25741.0;0.0;0.0;2808.0;94.0;702.0;1016.0;100.0;160.0;736.0
1985M05;25123.0;0.0;0.0;2284.0;57.0;557.0;790.0;121.0;133.0;626.0
1985M06;22901.0;0.0;0.0;2001.0;23.0;539.0;678.0;91.0;116.0;554.0
1985M07;24912.0;0.0;0.0;2128.0;7.0;615.0;673.0;89.0;124.0;620.0
1985M08;23442.0;0.0;0.0;2009.0;7.0;468.0;667.0;79.0;133.0;655.0
1985M09;21999.0;0.0;0.0;1785.0;7.0;495.0;589.0;70.0;103.0;521.0
1985M10;23354.0;0.0;0.0;1983.0;25.0;531.0;714.0;88.0;135.0;490.0
1985M11;26379.0;0.0;0.0;2435.0;36.0;644.0;871.0;91.0;142.0;651.0
1985M12;31421.0;0.0;0.0;3669.0;165.0;969.0;1251.0;159.0;213.0;912.0
1986M01;34835.0;0.0;0.0;5005.0;402.0;1358.0;1707.0;165.0;222.0;1151.0
1986M02;29453.0;0.0;0.0;3655.0;251.0;883.0;1339.0;154.0;168.0;860.0
1986M03;27248.0;0.0;0.0;2704.0;78.0;690.0;1031.0;117.0;150.0;638.0
1986M04;25696.0;0.0;0.0;2335.0;42.0;607.0;915.0;91.0;110.0;570.0
1986M05;24858.0;0.0;0.0;2127.0;25.0;561.0;766.0;100.0;112.0;563.0
1986M06;22689.0;0.0;0.0;1722.0;11.0;412.0;624.0;68.0;108.0;499.0
1986M07;23935.0;0.0;0.0;1880.0;8.0;511.0;630.0;84.0;96.0;551.0
1986M08;23151.0;0.0;0.0;1679.0;2.0;464.0;543.0;87.0;98.0;485.0
1986M09;22087.0;0.0;0.0;1604.0;10.0;458.0;538.0;67.0;101.0;430.0
1986M10;23267.0;0.0;0.0;1866.0;12.0;502.0;667.0;79.0;104.0;502.0
1986M11;25390.0;0.0;0.0;2264.0;34.0;602.0;810.0;97.0;128.0;593.0
1986M12;27804.0;0.0;0.0;2557.0;34.0;663.0;940.0;113.0;133.0;674.0
1987M01;32201.0;0.0;0.0;3748.0;203.0;915.0;1410.0;123.0;133.0;964.0
1987M02;26225.0;0.0;0.0;2792.0;132.0;716.0;1078.0;95.0;119.0;652.0
1987M03;26256.0;0.0;0.0;2463.0;50.0;625.0;957.0;101.0;100.0;630.0
1987M04;25043.0;0.0;0.0;2256.0;39.0;517.0;899.0;89.0;110.0;602.0
1987M05;24272.0;0.0;0.0;1960.0;14.0;483.0;751.0;75.0;88.0;549.0
1987M06;23502.0;0.0;0.0;1919.0;14.0;496.0;717.0;80.0;111.0;501.0
1987M07;24444.0;0.0;0.0;1966.0;9.0;511.0;686.0;82.0;116.0;562.0
1987M08;25290.0;0.0;0.0;2100.0;2.0;548.0;707.0;92.0;127.0;624.0
1987M09;23122.0;0.0;0.0;1850.0;8.0;476.0;678.0;72.0;106.0;510.0
1987M10;25415.0;0.0;0.0;2013.0;14.0;500.0;747.0;85.0;113.0;554.0
1987M11;25769.0;0.0;0.0;2328.0;26.0;534.0;912.0;74.0;120.0;662.0
1987M12;28534.0;0.0;0.0;2580.0;43.0;613.0;1044.0;110.0;122.0;648.0
1988M01;29003.0;0.0;0.0;2731.0;34.0;667.0;1172.0;103.0;108.0;647.0
1988M02;26656.0;0.0;0.0;2560.0;28.0;586.0;1075.0;94.0;112.0;665.0
1988M03;30566.0;0.0;0.0;3347.0;89.0;770.0;1340.0;119.0;169.0;860.0
1988M04;25585.0;0.0;0.0;2511.0;54.0;532.0;1072.0;83.0;126.0;644.0
1988M05;24958.0;0.0;0.0;2069.0;20.0;445.0;846.0;75.0;124.0;559.0
1988M06;23729.0;0.0;0.0;1962.0;10.0;457.0;761.0;86.0;91.0;557.0
1988M07;25722.0;0.0;0.0;2064.0;6.0;514.0;799.0;69.0;124.0;552.0
1988M08;25825.0;0.0;0.0;2224.0;5.0;524.0;848.0;84.0;147.0;616.0
1988M09;23773.0;0.0;0.0;1842.0;5.0;443.0;716.0;70.0;99.0;509.0
1988M10;24945.0;0.0;0.0;2120.0;13.0;486.0;846.0;72.0;119.0;584.0
1988M11;25853.0;0.0;0.0;2223.0;30.0;520.0;878.0;77.0;112.0;606.0
1988M12;32822.0;0.0;0.0;3860.0;151.0;859.0;1501.0;134.0;219.0;996.0
1989M01;33709.0;0.0;0.0;4348.0;269.0;912.0;1746.0;114.0;200.0;1107.0
1989M02;28243.0;0.0;0.0;3190.0;87.0;693.0;1355.0;120.0;164.0;771.0
1989M03;27857.0;0.0;0.0;2785.0;38.0;582.0;1213.0;115.0;134.0;703.0
1989M04;26030.0;0.0;0.0;2422.0;25.0;503.0;1031.0;93.0;101.0;669.0
1989M05;26165.0;0.0;0.0;2373.0;13.0;495.0;963.0;88.0;138.0;676.0
1989M06;25244.0;0.0;0.0;2147.0;3.0;451.0;896.0;75.0;123.0;599.0
1989M07;27615.0;0.0;0.0;2363.0;5.0;542.0;910.0;65.0;161.0;680.0
1989M08;26430.0;0.0;0.0;2339.0;9.0;595.0;815.0;82.0;154.0;684.0
1989M09;23499.0;0.0;0.0;1866.0;6.0;437.0;719.0;74.0;103.0;527.0
1989M10;25431.0;0.0;0.0;2099.0;19.0;465.0;828.0;71.0;123.0;593.0
1989M11;26078.0;0.0;0.0;2326.0;33.0;555.0;944.0;86.0;115.0;593.0
1989M12;28495.0;0.0;0.0;2790.0;36.0;596.0;1149.0;96.0;179.0;734.0
1990M01;35993.0;0.0;0.0;5045.0;327.0;1060.0;1964.0;153.0;254.0;1287.0
1990M02;29529.0;0.0;0.0;4186.0;276.0;945.0;1645.0;107.0;224.0;989.0
1990M03;28299.0;0.0;0.0;2948.0;67.0;573.0;1299.0;76.0;160.0;773.0
1990M04;26607.0;0.0;0.0;2736.0;41.0;598.0;1077.0;84.0;139.0;797.0
1990M05;25728.0;0.0;0.0;2553.0;12.0;537.0;1061.0;86.0;157.0;700.0
1990M06;24319.0;0.0;0.0;2084.0;9.0;448.0;837.0;67.0;125.0;598.0
1990M07;27758.0;0.0;0.0;2510.0;5.0;602.0;923.0;76.0;131.0;773.0
1990M08;25898.0;0.0;0.0;2286.0;3.0;501.0;893.0;103.0;126.0;660.0
1990M09;23722.0;0.0;0.0;1898.0;6.0;436.0;679.0;74.0;113.0;590.0
