Comunidad Autónoma y Provincia;Tipo de índice;años;Total
Madrid, Comunidad de;Promedio de estancias/enfermo;1992;11,17
Madrid, Comunidad de;Promedio de estancias/enfermo;1991;12,06
Extremadura;Promedio de estancias/enfermo;2000;..
Extremadura;Promedio de estancias/enfermo;1999;..
Extremadura;Promedio de estancias/enfermo;1998;..
Extremadura;Promedio de estancias/enfermo;1997;11,15
Extremadura;Promedio de estancias/enfermo;1996;11,12
Extremadura;Promedio de estancias/enfermo;1995;11,83
Extremadura;Promedio de estancias/enfermo;1994;11,77
Extremadura;Promedio de estancias/enfermo;1993;11,87
Extremadura;Promedio de estancias/enfermo;1992;12,46
Extremadura;Promedio de estancias/enfermo;1991;12,49
Castilla-La mancha;Promedio de estancias/enfermo;2000;..
Castilla-La mancha;Promedio de estancias/enfermo;1999;..
Castilla-La mancha;Promedio de estancias/enfermo;1998;..
Castilla-La mancha;Promedio de estancias/enfermo;1997;8,92
Castilla-La mancha;Promedio de estancias/enfermo;1996;9,54
Castilla-La mancha;Promedio de estancias/enfermo;1995;10,00
Castilla-La mancha;Promedio de estancias/enfermo;1994;10,08
Castilla-La mancha;Promedio de estancias/enfermo;1993;10,39
Castilla-La mancha;Promedio de estancias/enfermo;1992;11,02
Castilla-La mancha;Promedio de estancias/enfermo;1991;11,35
Comunidad Valenciana;Promedio de estancias/enfermo;2000;..
Comunidad Valenciana;Promedio de estancias/enfermo;1999;..
Comunidad Valenciana;Promedio de estancias/enfermo;1998;..
Comunidad Valenciana;Promedio de estancias/enfermo;1997;7,28
Comunidad Valenciana;Promedio de estancias/enfermo;1996;7,72
Comunidad Valenciana;Promedio de estancias/enfermo;1995;8,07
Comunidad Valenciana;Promedio de estancias/enfermo;1994;8,02
Comunidad Valenciana;Promedio de estancias/enfermo;1993;8,64
Comunidad Valenciana;Promedio de estancias/enfermo;1992;8,63
Comunidad Valenciana;Promedio de estancias/enfermo;1991;9,16
Balears,Illes;Promedio de estancias/enfermo;2000;..
Balears,Illes;Promedio de estancias/enfermo;1999;..
Balears,Illes;Promedio de estancias/enfermo;1998;..
Balears,Illes;Promedio de estancias/enfermo;1997;7,41
Balears,Illes;Promedio de estancias/enfermo;1996;7,83
Balears,Illes;Promedio de estancias/enfermo;1995;8,02
Balears,Illes;Promedio de estancias/enfermo;1994;8,13
Balears,Illes;Promedio de estancias/enfermo;1993;8,42
